Cluster Num,Representative,Member,RFAM family,Organism,Location,Length
1186,"KX883979.1:6097-6308 Wenzhou shrimp virus 5 IRES_Cripavirus Wenzhou shrimp virus 5 strain shrimp14323 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.","KX883979.1:6097-6308 Wenzhou shrimp virus 5 IRES_Cripavirus Wenzhou shrimp virus 5 strain shrimp14323 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",RF00458,Virus,,212
1187,PV_type1_Mahoney|Human poliovirus 1,PV_type1_Mahoney|Human poliovirus 1,RF00229,Human poliovirus 1,,312
1195,vir_ires_00484.1,vir_ires_00484.1,RF00458,Plautia stali intestine virus (PSIV),,191
1196,vir_ires_00505.1,vir_ires_00505.1,RF00229,Coxsackievirus B3 (CVB3),,741
1228,mouse_hsa_ires_00368.1 | chr14:30280604-30280687(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_hsa_ires_00368.1 | chr14:30280604-30280687(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr14:30280604-30280687-,84
1228,mouse_hsa_ires_00368.1 | chr14:30280604-30280687(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_hsa_ires_00439.1 | chr14:28999456-28999539(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr14:28999456-28999539-,84
1230,PV_type3_Leon|Human poliovirus 1,PV_type3_Leon|Human poliovirus 1,RF00229,Human poliovirus 1,,742
1246,vir_ires_00422.1,vir_ires_00422.1,RF00210,Bovine hungarovirus 1 (BHuV-1),,174
1248,IGF2_leader2|Homo sapiens,IGF2_leader2|Homo sapiens,RF00483,Homo sapiens (human),,121
1248,IGF2_leader2|Homo sapiens,mouse_hsa_ires_00526.1 | chr7:143338633-143338753(-) | RF00483 | IRES_IGF2 | growth factor II IRES,RF00483,Mus musculus (mouse),chr7:143338633-143338753-,121
1272,"KX884282.1:5938-6130 Wuhan arthropod virus 2 IRES_Cripavirus Wuhan arthropod virus 2 strain WHSF0 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.","KX884282.1:5938-6130 Wuhan arthropod virus 2 IRES_Cripavirus Wuhan arthropod virus 2 strain WHSF0 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",RF00458,Virus,,193
1286,vir_ires_00271.1,vir_ires_00271.1,RF01047,Hepatitis B virus (HBV),,174
1289,vir_ires_00534.1,vir_ires_00534.1,RF00376,HIV-1 vector pNL4-3,,120
1290,"CM000685.2:18534867-18535067 Homo sapiens IRES_Cx43 Homo sapiens chromosome X, GRCh38 reference primary assembly.","CM000685.2:18534867-18535067 Homo sapiens IRES_Cx43 Homo sapiens chromosome X, GRCh38 reference primary assembly.",RF00487,Homo sapiens (human),,201
1315,mouse_hsa_ires_00059.1 | chr15:99093736-99093812(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_hsa_ires_00059.1 | chr15:99093736-99093812(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr15:99093736-99093812-,77
1316,mouse_hsa_ires_00264.1 | chr17:27101872-27102066(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00264.1 | chr17:27101872-27102066(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),RF00216,Mus musculus (mouse),chr17:27101872-27102066-,195
1317,mouse_hsa_ires_00450.1 | chr17:31663179-31663394(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00450.1 | chr17:31663179-31663394(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr17:31663179-31663394+,216
1317,mouse_hsa_ires_00450.1 | chr17:31663179-31663394(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00461.1 | chr17:31663179-31663394(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr17:31663179-31663394+,216
1326,vir_ires_00369.1,vir_ires_00369.1,RF00229,Enterovirus J (simian virus 6),,174
1360,mouse_p27kip1 | chr6:134247620-134247799(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),mouse_p27kip1 | chr6:134247620-134247799(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),RF00216,Mus musculus (mouse),chr6:134247620-134247799-,180
1360,mouse_p27kip1 | chr6:134247620-134247799(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00592.1 | chr6:134247620-134247799(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),RF00216,Mus musculus (mouse),chr6:134247620-134247799-,180
1361,mouse_hsa_ires_00341.1 | chr12:12982648-12982917(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00341.1 | chr12:12982648-12982917(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr12:12982648-12982917-,270
1361,mouse_hsa_ires_00341.1 | chr12:12982648-12982917(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),"CM001005.3:12990637-12990368 Mus musculus IRES_n-myc CM001005.3 Mus musculus chromosome 12, GRCm39 reference primary assembly C57BL/6J",RF00226,Mus musculus (mouse),,270
1362,"KX884274.1:7022-7201 Wuhan insect virus 33 IRES_Cripavirus Wuhan insect virus 33 strain WHCCII11871 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.","KX884274.1:7022-7201 Wuhan insect virus 33 IRES_Cripavirus Wuhan insect virus 33 strain WHCCII11871 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",RF00458,Virus,,180
1377,vir_ires_00173.1,vir_ires_00173.1,RF00229,Enterovirus A,,174
