Representative	Member	RFAM	Organism	Location	Length
hsa_ires_00203.1|Homo sapiens (human)|chr18:56,638,441-56,638,614-	hsa_ires_00203.1|Homo sapiens (human)|chr18:56,638,441-56,638,614-		Homo sapiens (human)	chr18:56,638,441-56,638,614-	174
hsa_ires_00204.1|Homo sapiens (human)|chr12:98,593,805-98,593,978+	hsa_ires_00204.1|Homo sapiens (human)|chr12:98,593,805-98,593,978+		Homo sapiens (human)	chr12:98,593,805-98,593,978+	174
hsa_ires_00205.1|Homo sapiens (human)|chr6:100,463,469-100,463,642-	hsa_ires_00205.1|Homo sapiens (human)|chr6:100,463,469-100,463,642-		Homo sapiens (human)	chr6:100,463,469-100,463,642-	174
hsa_ires_00206.1|Homo sapiens (human)|chr1:21,002,743-21,050,973-	hsa_ires_00206.1|Homo sapiens (human)|chr1:21,002,743-21,050,973-		Homo sapiens (human)	chr1:21,002,743-21,050,973-	174
hsa_ires_00207.1|Homo sapiens (human)|chr2:74,374,353-74,374,526-	hsa_ires_00207.1|Homo sapiens (human)|chr2:74,374,353-74,374,526-		Homo sapiens (human)	chr2:74,374,353-74,374,526-	174
hsa_ires_00208.1|Homo sapiens (human)|chr6:36,540,203-36,547,358-	hsa_ires_00208.1|Homo sapiens (human)|chr6:36,540,203-36,547,358-		Homo sapiens (human)	chr6:36,540,203-36,547,358-	174
hsa_ires_00209.1|Homo sapiens (human)|chr11:64,285,104-64,286,524+	hsa_ires_00209.1|Homo sapiens (human)|chr11:64,285,104-64,286,524+		Homo sapiens (human)	chr11:64,285,104-64,286,524+	174
hsa_ires_00210.1|Homo sapiens (human)|chr11:10,807,296-10,808,792-	hsa_ires_00210.1|Homo sapiens (human)|chr11:10,807,296-10,808,792-		Homo sapiens (human)	chr11:10,807,296-10,808,792-	174
hsa_ires_00211.1|Homo sapiens (human)|chr10:100,329,941-100,330,114-	hsa_ires_00211.1|Homo sapiens (human)|chr10:100,329,941-100,330,114-		Homo sapiens (human)	chr10:100,329,941-100,330,114-	174
hsa_ires_00212.1|Homo sapiens (human)|chr4:102,826,509-102,827,780-	hsa_ires_00212.1|Homo sapiens (human)|chr4:102,826,509-102,827,780-		Homo sapiens (human)	chr4:102,826,509-102,827,780-	174
hsa_ires_00213.1|Homo sapiens (human)|chr8:123,416,725-123,416,898+	hsa_ires_00213.1|Homo sapiens (human)|chr8:123,416,725-123,416,898+		Homo sapiens (human)	chr8:123,416,725-123,416,898+	174
hsa_ires_00214.1|Homo sapiens (human)|chr1:201,648,495-201,648,668+	hsa_ires_00214.1|Homo sapiens (human)|chr1:201,648,495-201,648,668+		Homo sapiens (human)	chr1:201,648,495-201,648,668+	174
hsa_ires_00215.1|Homo sapiens (human)|chr3:98,770,944-98,772,903+	hsa_ires_00215.1|Homo sapiens (human)|chr3:98,770,944-98,772,903+		Homo sapiens (human)	chr3:98,770,944-98,772,903+	174
hsa_ires_00216.1|Homo sapiens (human)|chr1:153,307,202-153,310,718-	hsa_ires_00216.1|Homo sapiens (human)|chr1:153,307,202-153,310,718-		Homo sapiens (human)	chr1:153,307,202-153,310,718-	174
hsa_ires_00217.1|Homo sapiens (human)|chrX:152,991,599-152,991,952-	hsa_ires_00217.1|Homo sapiens (human)|chrX:152,991,599-152,991,952-		Homo sapiens (human)	chrX:152,991,599-152,991,952-	174
hsa_ires_00218.1|Homo sapiens (human)|chr3:94,003,664-94,003,837+	hsa_ires_00218.1|Homo sapiens (human)|chr3:94,003,664-94,003,837+		Homo sapiens (human)	chr3:94,003,664-94,003,837+	174
hsa_ires_00219.1|Homo sapiens (human)|chr20:16,730,026-16,731,702+	hsa_ires_00219.1|Homo sapiens (human)|chr20:16,730,026-16,731,702+		Homo sapiens (human)	chr20:16,730,026-16,731,702+	174
hsa_ires_00220.1|Homo sapiens (human)|chr4:110,198,336-110,198,509-	hsa_ires_00220.1|Homo sapiens (human)|chr4:110,198,336-110,198,509-		Homo sapiens (human)	chr4:110,198,336-110,198,509-	174
hsa_ires_00221.1|Homo sapiens (human)|chr6:135,492,238-135,497,222-	hsa_ires_00221.1|Homo sapiens (human)|chr6:135,492,238-135,497,222-		Homo sapiens (human)	chr6:135,492,238-135,497,222-	174
hsa_ires_00222.1|Homo sapiens (human)|chr18:63,643,490-63,644,268-	hsa_ires_00222.1|Homo sapiens (human)|chr18:63,643,490-63,644,268-		Homo sapiens (human)	chr18:63,643,490-63,644,268-	174
hsa_ires_00223.1|Homo sapiens (human)|chr1:150,268,811-150,268,984-	hsa_ires_00223.1|Homo sapiens (human)|chr1:150,268,811-150,268,984-		Homo sapiens (human)	chr1:150,268,811-150,268,984-	174
hsa_ires_00224.1|Homo sapiens (human)|chr16:67,227,113-67,227,897+	hsa_ires_00224.1|Homo sapiens (human)|chr16:67,227,113-67,227,897+		Homo sapiens (human)	chr16:67,227,113-67,227,897+	174
hsa_ires_00225.1|Homo sapiens (human)|chr3:9,902,828-9,903,001+	hsa_ires_00225.1|Homo sapiens (human)|chr3:9,902,828-9,903,001+		Homo sapiens (human)	chr3:9,902,828-9,903,001+	174
hsa_ires_00226.1|Homo sapiens (human)|chrY:1,442,237-1,453,710;chrX:1,442,237-1,453,710-;-	hsa_ires_00226.1|Homo sapiens (human)|chrY:1,442,237-1,453,710;chrX:1,442,237-1,453,710-;-		Homo sapiens (human)	chrY:1,442,237-1,453,710;chrX:1,442,237-1,453,710-;-	174
hsa_ires_00227.1|Homo sapiens (human)|chr1:156,153,620-156,154,578+	hsa_ires_00227.1|Homo sapiens (human)|chr1:156,153,620-156,154,578+		Homo sapiens (human)	chr1:156,153,620-156,154,578+	174
hsa_ires_00228.1|Homo sapiens (human)|chr16:761,073-762,743+	hsa_ires_00228.1|Homo sapiens (human)|chr16:761,073-762,743+		Homo sapiens (human)	chr16:761,073-762,743+	174
hsa_ires_00229.1|Homo sapiens (human)|chr13:24,503,709-24,512,810-	hsa_ires_00229.1|Homo sapiens (human)|chr13:24,503,709-24,512,810-		Homo sapiens (human)	chr13:24,503,709-24,512,810-	174
hsa_ires_00230.1|Homo sapiens (human)|chr3:107,523,089-107,710,460+	hsa_ires_00230.1|Homo sapiens (human)|chr3:107,523,089-107,710,460+		Homo sapiens (human)	chr3:107,523,089-107,710,460+	174
hsa_ires_00231.1|Homo sapiens (human)|chr3:49,470,269-49,510,534+	hsa_ires_00231.1|Homo sapiens (human)|chr3:49,470,269-49,510,534+		Homo sapiens (human)	chr3:49,470,269-49,510,534+	174
hsa_ires_00232.1|Homo sapiens (human)|chr19:40,348,649-40,366,483+	hsa_ires_00232.1|Homo sapiens (human)|chr19:40,348,649-40,366,483+		Homo sapiens (human)	chr19:40,348,649-40,366,483+	174
hsa_ires_00233.1|Homo sapiens (human)|chrX:131,058,413-131,081,665+	hsa_ires_00233.1|Homo sapiens (human)|chrX:131,058,413-131,081,665+		Homo sapiens (human)	chrX:131,058,413-131,081,665+	174
hsa_ires_00234.1|Homo sapiens (human)|chr12:57,547,064-57,547,237-	hsa_ires_00234.1|Homo sapiens (human)|chr12:57,547,064-57,547,237-		Homo sapiens (human)	chr12:57,547,064-57,547,237-	174
hsa_ires_00235.1|Homo sapiens (human)|chr15:50,908,853-50,915,450+	hsa_ires_00235.1|Homo sapiens (human)|chr15:50,908,853-50,915,450+		Homo sapiens (human)	chr15:50,908,853-50,915,450+	174
hsa_ires_00236.1|Homo sapiens (human)|chr6:29,627,792-29,627,965-	hsa_ires_00236.1|Homo sapiens (human)|chr6:29,627,792-29,627,965-		Homo sapiens (human)	chr6:29,627,792-29,627,965-	174
hsa_ires_00237.1|Homo sapiens (human)|chr8:48,008,435-48,043,169+	hsa_ires_00237.1|Homo sapiens (human)|chr8:48,008,435-48,043,169+		Homo sapiens (human)	chr8:48,008,435-48,043,169+	174
hsa_ires_00238.1|Homo sapiens (human)|chr11:17,077,177-17,077,673-	hsa_ires_00238.1|Homo sapiens (human)|chr11:17,077,177-17,077,673-		Homo sapiens (human)	chr11:17,077,177-17,077,673-	174
hsa_ires_00239.1|Homo sapiens (human)|chr1:41,186,134-41,242,115-	hsa_ires_00239.1|Homo sapiens (human)|chr1:41,186,134-41,242,115-		Homo sapiens (human)	chr1:41,186,134-41,242,115-	174
hsa_ires_00240.1|Homo sapiens (human)|chr19:50,981,772-50,983,881-	hsa_ires_00240.1|Homo sapiens (human)|chr19:50,981,772-50,983,881-		Homo sapiens (human)	chr19:50,981,772-50,983,881-	174
hsa_ires_00241.1|Homo sapiens (human)|chrX:30,232,906-30,235,924+	hsa_ires_00241.1|Homo sapiens (human)|chrX:30,232,906-30,235,924+		Homo sapiens (human)	chrX:30,232,906-30,235,924+	174
hsa_ires_00242.1|Homo sapiens (human)|chr19:38,931,121-38,931,294+	hsa_ires_00242.1|Homo sapiens (human)|chr19:38,931,121-38,931,294+		Homo sapiens (human)	chr19:38,931,121-38,931,294+	174
hsa_ires_00243.1|Homo sapiens (human)|chr10:63,133,297-63,133,470+	hsa_ires_00243.1|Homo sapiens (human)|chr10:63,133,297-63,133,470+		Homo sapiens (human)	chr10:63,133,297-63,133,470+	174
hsa_ires_00244.1|Homo sapiens (human)|chr8:133,284,312-133,297,289-	hsa_ires_00244.1|Homo sapiens (human)|chr8:133,284,312-133,297,289-		Homo sapiens (human)	chr8:133,284,312-133,297,289-	174
hsa_ires_00245.1|Homo sapiens (human)|chr15:50,686,534-50,686,707-	hsa_ires_00245.1|Homo sapiens (human)|chr15:50,686,534-50,686,707-		Homo sapiens (human)	chr15:50,686,534-50,686,707-	174
hsa_ires_00246.1|Homo sapiens (human)|chr21:30,425,739-30,425,912-	hsa_ires_00246.1|Homo sapiens (human)|chr21:30,425,739-30,425,912-		Homo sapiens (human)	chr21:30,425,739-30,425,912-	174
hsa_ires_00247.1|Homo sapiens (human)|chr10:16,782,035-16,817,438-	hsa_ires_00247.1|Homo sapiens (human)|chr10:16,782,035-16,817,438-		Homo sapiens (human)	chr10:16,782,035-16,817,438-	174
hsa_ires_00248.1|Homo sapiens (human)|chr19:15,125,007-15,125,766-	hsa_ires_00248.1|Homo sapiens (human)|chr19:15,125,007-15,125,766-		Homo sapiens (human)	chr19:15,125,007-15,125,766-	174
hsa_ires_00249.1|Homo sapiens (human)|chr11:61,333,265-61,334,728+	hsa_ires_00249.1|Homo sapiens (human)|chr11:61,333,265-61,334,728+		Homo sapiens (human)	chr11:61,333,265-61,334,728+	174
hsa_ires_00250.1|Homo sapiens (human)|chr11:67,353,400-67,353,573-	hsa_ires_00250.1|Homo sapiens (human)|chr11:67,353,400-67,353,573-		Homo sapiens (human)	chr11:67,353,400-67,353,573-	174
hsa_ires_00251.1|Homo sapiens (human)|chr20:5,109,431-5,112,795-	hsa_ires_00251.1|Homo sapiens (human)|chr20:5,109,431-5,112,795-		Homo sapiens (human)	chr20:5,109,431-5,112,795-	174
hsa_ires_00252.1|Homo sapiens (human)|chr1:165,419,943-165,424,852-	hsa_ires_00252.1|Homo sapiens (human)|chr1:165,419,943-165,424,852-		Homo sapiens (human)	chr1:165,419,943-165,424,852-	174
hsa_ires_00253.1|Homo sapiens (human)|chr16:31,135,499-31,135,672-	hsa_ires_00253.1|Homo sapiens (human)|chr16:31,135,499-31,135,672-		Homo sapiens (human)	chr16:31,135,499-31,135,672-	174
hsa_ires_00254.1|Homo sapiens (human)|chr16:67,180,611-67,183,379-	hsa_ires_00254.1|Homo sapiens (human)|chr16:67,180,611-67,183,379-		Homo sapiens (human)	chr16:67,180,611-67,183,379-	174
hsa_ires_00255.1|Homo sapiens (human)|chr11:95,865,647-95,887,632-	hsa_ires_00255.1|Homo sapiens (human)|chr11:95,865,647-95,887,632-		Homo sapiens (human)	chr11:95,865,647-95,887,632-	174
hsa_ires_00256.1|Homo sapiens (human)|chr2:223,051,971-223,052,144+	hsa_ires_00256.1|Homo sapiens (human)|chr2:223,051,971-223,052,144+		Homo sapiens (human)	chr2:223,051,971-223,052,144+	174
hsa_ires_00257.1|Homo sapiens (human)|chr19:35,712,964-35,714,626+	hsa_ires_00257.1|Homo sapiens (human)|chr19:35,712,964-35,714,626+		Homo sapiens (human)	chr19:35,712,964-35,714,626+	174
hsa_ires_00258.1|Homo sapiens (human)|chr17:63,550,504-63,550,677+	hsa_ires_00258.1|Homo sapiens (human)|chr17:63,550,504-63,550,677+		Homo sapiens (human)	chr17:63,550,504-63,550,677+	174
hsa_ires_00259.1|Homo sapiens (human)|chr3:161,086,755-161,104,367-	hsa_ires_00259.1|Homo sapiens (human)|chr3:161,086,755-161,104,367-		Homo sapiens (human)	chr3:161,086,755-161,104,367-	174
hsa_ires_00260.1|Homo sapiens (human)|chr8:143,688,044-143,690,108+	hsa_ires_00260.1|Homo sapiens (human)|chr8:143,688,044-143,690,108+		Homo sapiens (human)	chr8:143,688,044-143,690,108+	174
hsa_ires_00261.1|Homo sapiens (human)|chr22:22,556,833-22,557,006-	hsa_ires_00261.1|Homo sapiens (human)|chr22:22,556,833-22,557,006-		Homo sapiens (human)	chr22:22,556,833-22,557,006-	174
hsa_ires_00262.1|Homo sapiens (human)|chrX:41,689,083-41,695,633+	hsa_ires_00262.1|Homo sapiens (human)|chrX:41,689,083-41,695,633+		Homo sapiens (human)	chrX:41,689,083-41,695,633+	174
hsa_ires_00263.1|Homo sapiens (human)|chr16:3,065,352-3,065,811+	hsa_ires_00263.1|Homo sapiens (human)|chr16:3,065,352-3,065,811+		Homo sapiens (human)	chr16:3,065,352-3,065,811+	174
hsa_ires_00264.1|Homo sapiens (human)|chr6:33,417,669-33,417,984-	hsa_ires_00264.1|Homo sapiens (human)|chr6:33,417,669-33,417,984-		Homo sapiens (human)	chr6:33,417,669-33,417,984-	174
hsa_ires_00265.1|Homo sapiens (human)|chr17:82,449,255-82,450,785-	hsa_ires_00265.1|Homo sapiens (human)|chr17:82,449,255-82,450,785-		Homo sapiens (human)	chr17:82,449,255-82,450,785-	174
hsa_ires_00266.1|Homo sapiens (human)|chr17:9,905,181-9,905,354-	hsa_ires_00266.1|Homo sapiens (human)|chr17:9,905,181-9,905,354-		Homo sapiens (human)	chr17:9,905,181-9,905,354-	174
hsa_ires_00267.1|Homo sapiens (human)|chr3:122,559,621-122,564,195-	hsa_ires_00267.1|Homo sapiens (human)|chr3:122,559,621-122,564,195-		Homo sapiens (human)	chr3:122,559,621-122,564,195-	174
hsa_ires_00268.1|Homo sapiens (human)|chr6:27,810,064-27,810,237+	hsa_ires_00268.1|Homo sapiens (human)|chr6:27,810,064-27,810,237+		Homo sapiens (human)	chr6:27,810,064-27,810,237+	174
hsa_ires_00269.1|Homo sapiens (human)|chr17:81,035,147-81,053,679+	hsa_ires_00269.1|Homo sapiens (human)|chr17:81,035,147-81,053,679+		Homo sapiens (human)	chr17:81,035,147-81,053,679+	174
hsa_ires_00270.1|Homo sapiens (human)|chr19:55,385,932-55,386,620+	hsa_ires_00270.1|Homo sapiens (human)|chr19:55,385,932-55,386,620+		Homo sapiens (human)	chr19:55,385,932-55,386,620+	174
hsa_ires_00271.1|Homo sapiens (human)|chr6:30,908,233-30,909,036+	hsa_ires_00271.1|Homo sapiens (human)|chr6:30,908,233-30,909,036+		Homo sapiens (human)	chr6:30,908,233-30,909,036+	174
hsa_ires_00272.1|Homo sapiens (human)|chr12:104,287,082-104,311,325+	hsa_ires_00272.1|Homo sapiens (human)|chr12:104,287,082-104,311,325+		Homo sapiens (human)	chr12:104,287,082-104,311,325+	174
hsa_ires_00273.1|Homo sapiens (human)|chr7:139,787,365-139,875,602+	hsa_ires_00273.1|Homo sapiens (human)|chr7:139,787,365-139,875,602+		Homo sapiens (human)	chr7:139,787,365-139,875,602+	174
hsa_ires_00274.1|Homo sapiens (human)|chr3:124,730,366-124,730,539+	hsa_ires_00274.1|Homo sapiens (human)|chr3:124,730,366-124,730,539+		Homo sapiens (human)	chr3:124,730,366-124,730,539+	174
hsa_ires_00275.1|Homo sapiens (human)|chr2:202,911,477-202,911,650-	hsa_ires_00275.1|Homo sapiens (human)|chr2:202,911,477-202,911,650-		Homo sapiens (human)	chr2:202,911,477-202,911,650-	174
hsa_ires_00276.1|Homo sapiens (human)|chr4:80,335,720-80,362,767+	hsa_ires_00276.1|Homo sapiens (human)|chr4:80,335,720-80,362,767+		Homo sapiens (human)	chr4:80,335,720-80,362,767+	174
hsa_ires_00277.1|Homo sapiens (human)|chr3:52,149,977-52,154,361-	hsa_ires_00277.1|Homo sapiens (human)|chr3:52,149,977-52,154,361-		Homo sapiens (human)	chr3:52,149,977-52,154,361-	174
hsa_ires_00278.1|Homo sapiens (human)|chr1:209,650,945-209,651,118-	hsa_ires_00278.1|Homo sapiens (human)|chr1:209,650,945-209,651,118-		Homo sapiens (human)	chr1:209,650,945-209,651,118-	174
hsa_ires_00279.1|Homo sapiens (human)|chr4:127,782,377-127,782,550+	hsa_ires_00279.1|Homo sapiens (human)|chr4:127,782,377-127,782,550+		Homo sapiens (human)	chr4:127,782,377-127,782,550+	174
hsa_ires_00280.1|Homo sapiens (human)|chr7:148,847,299-148,883,363-	hsa_ires_00280.1|Homo sapiens (human)|chr7:148,847,299-148,883,363-		Homo sapiens (human)	chr7:148,847,299-148,883,363-	174
hsa_ires_00281.1|Homo sapiens (human)|chr14:24,314,862-24,315,651+	hsa_ires_00281.1|Homo sapiens (human)|chr14:24,314,862-24,315,651+		Homo sapiens (human)	chr14:24,314,862-24,315,651+	174
hsa_ires_00282.1|Homo sapiens (human)|chr6:149,890,902-149,895,886-	hsa_ires_00282.1|Homo sapiens (human)|chr6:149,890,902-149,895,886-		Homo sapiens (human)	chr6:149,890,902-149,895,886-	174
hsa_ires_00283.1|Homo sapiens (human)|chr7:99,676,208-99,679,998-	hsa_ires_00283.1|Homo sapiens (human)|chr7:99,676,208-99,679,998-		Homo sapiens (human)	chr7:99,676,208-99,679,998-	174
hsa_ires_00284.1|Homo sapiens (human)|chr19:110,679-110,852+	hsa_ires_00284.1|Homo sapiens (human)|chr19:110,679-110,852+		Homo sapiens (human)	chr19:110,679-110,852+	174
hsa_ires_00285.1|Homo sapiens (human)|chr3:46,577,796-46,577,969+	hsa_ires_00285.1|Homo sapiens (human)|chr3:46,577,796-46,577,969+		Homo sapiens (human)	chr3:46,577,796-46,577,969+	174
hsa_ires_00286.1|Homo sapiens (human)|chr1:155,324,244-155,324,417+	hsa_ires_00286.1|Homo sapiens (human)|chr1:155,324,244-155,324,417+		Homo sapiens (human)	chr1:155,324,244-155,324,417+	174
hsa_ires_00287.1|Homo sapiens (human)|chr4:39,458,414-39,458,587-	hsa_ires_00287.1|Homo sapiens (human)|chr4:39,458,414-39,458,587-		Homo sapiens (human)	chr4:39,458,414-39,458,587-	174
hsa_ires_00288.1|Homo sapiens (human)|chr2:27,380,118-27,380,291-	hsa_ires_00288.1|Homo sapiens (human)|chr2:27,380,118-27,380,291-		Homo sapiens (human)	chr2:27,380,118-27,380,291-	174
hsa_ires_00289.1|Homo sapiens (human)|chr1:145,608,081-145,616,266+	hsa_ires_00289.1|Homo sapiens (human)|chr1:145,608,081-145,616,266+		Homo sapiens (human)	chr1:145,608,081-145,616,266+	174
hsa_ires_00290.1|Homo sapiens (human)|chr17:48,830,988-48,848,146+	hsa_ires_00290.1|Homo sapiens (human)|chr17:48,830,988-48,848,146+		Homo sapiens (human)	chr17:48,830,988-48,848,146+	174
hsa_ires_00291.1|Homo sapiens (human)|chr6:32,150,868-32,151,943-	hsa_ires_00291.1|Homo sapiens (human)|chr6:32,150,868-32,151,943-		Homo sapiens (human)	chr6:32,150,868-32,151,943-	174
hsa_ires_00292.1|Homo sapiens (human)|chr2:61,905,668-61,905,841+	hsa_ires_00292.1|Homo sapiens (human)|chr2:61,905,668-61,905,841+		Homo sapiens (human)	chr2:61,905,668-61,905,841+	174
hsa_ires_00293.1|Homo sapiens (human)|chr19:35,902,480-35,903,367+	hsa_ires_00293.1|Homo sapiens (human)|chr19:35,902,480-35,903,367+		Homo sapiens (human)	chr19:35,902,480-35,903,367+	174
hsa_ires_00294.1|Homo sapiens (human)|chr16:56,608,566-56,609,047+	hsa_ires_00294.1|Homo sapiens (human)|chr16:56,608,566-56,609,047+		Homo sapiens (human)	chr16:56,608,566-56,609,047+	174
hsa_ires_00295.1|Homo sapiens (human)|chr21:37,420,201-37,420,374+	hsa_ires_00295.1|Homo sapiens (human)|chr21:37,420,201-37,420,374+		Homo sapiens (human)	chr21:37,420,201-37,420,374+	174
hsa_ires_00296.1|Homo sapiens (human)|chr11:5,596,843-5,605,342+	hsa_ires_00296.1|Homo sapiens (human)|chr11:5,596,843-5,605,342+		Homo sapiens (human)	chr11:5,596,843-5,605,342+	174
hsa_ires_00297.1|Homo sapiens (human)|chrX:149,884,024-149,884,272+	hsa_ires_00297.1|Homo sapiens (human)|chrX:149,884,024-149,884,272+		Homo sapiens (human)	chrX:149,884,024-149,884,272+	174
hsa_ires_00298.1|Homo sapiens (human)|chrX:109,536,833-109,537,006+	hsa_ires_00298.1|Homo sapiens (human)|chrX:109,536,833-109,537,006+		Homo sapiens (human)	chrX:109,536,833-109,537,006+	174
hsa_ires_00299.1|Homo sapiens (human)|chr3:49,748,041-49,785,715-	hsa_ires_00299.1|Homo sapiens (human)|chr3:49,748,041-49,785,715-		Homo sapiens (human)	chr3:49,748,041-49,785,715-	174
hsa_ires_00300.1|Homo sapiens (human)|chr9:111,759,289-111,759,462-	hsa_ires_00300.1|Homo sapiens (human)|chr9:111,759,289-111,759,462-		Homo sapiens (human)	chr9:111,759,289-111,759,462-	174
hsa_ires_00301.1|Homo sapiens (human)|chr2:96,305,396-96,305,569-	hsa_ires_00301.1|Homo sapiens (human)|chr2:96,305,396-96,305,569-		Homo sapiens (human)	chr2:96,305,396-96,305,569-	174
hsa_ires_00302.1|Homo sapiens (human)|chr10:69,282,550-69,288,743+	hsa_ires_00302.1|Homo sapiens (human)|chr10:69,282,550-69,288,743+		Homo sapiens (human)	chr10:69,282,550-69,288,743+	174
hsa_ires_00303.1|Homo sapiens (human)|chr20:56,388,198-56,392,226-	hsa_ires_00303.1|Homo sapiens (human)|chr20:56,388,198-56,392,226-		Homo sapiens (human)	chr20:56,388,198-56,392,226-	174
hsa_ires_00304.1|Homo sapiens (human)|chr14:21,234,194-21,269,409-	hsa_ires_00304.1|Homo sapiens (human)|chr14:21,234,194-21,269,409-		Homo sapiens (human)	chr14:21,234,194-21,269,409-	174
hsa_ires_00305.1|Homo sapiens (human)|chr14:23,953,756-23,955,047+	hsa_ires_00305.1|Homo sapiens (human)|chr14:23,953,756-23,955,047+		Homo sapiens (human)	chr14:23,953,756-23,955,047+	174
hsa_ires_00306.1|Homo sapiens (human)|chr3:48,433,857-48,434,870-	hsa_ires_00306.1|Homo sapiens (human)|chr3:48,433,857-48,434,870-		Homo sapiens (human)	chr3:48,433,857-48,434,870-	174
hsa_ires_00307.1|Homo sapiens (human)|chr4:83,536,449-83,536,622+	hsa_ires_00307.1|Homo sapiens (human)|chr4:83,536,449-83,536,622+		Homo sapiens (human)	chr4:83,536,449-83,536,622+	174
hsa_ires_00308.1|Homo sapiens (human)|chr12:54,257,643-54,280,131-	hsa_ires_00308.1|Homo sapiens (human)|chr12:54,257,643-54,280,131-		Homo sapiens (human)	chr12:54,257,643-54,280,131-	174
hsa_ires_00309.1|Homo sapiens (human)|chr1:113,904,718-113,904,891-	hsa_ires_00309.1|Homo sapiens (human)|chr1:113,904,718-113,904,891-		Homo sapiens (human)	chr1:113,904,718-113,904,891-	174
hsa_ires_00310.1|Homo sapiens (human)|chrX:48,786,574-48,791,192+	hsa_ires_00310.1|Homo sapiens (human)|chrX:48,786,574-48,791,192+		Homo sapiens (human)	chrX:48,786,574-48,791,192+	174
hsa_ires_00311.1|Homo sapiens (human)|chr8:93,755,025-93,758,547+	hsa_ires_00311.1|Homo sapiens (human)|chr8:93,755,025-93,758,547+		Homo sapiens (human)	chr8:93,755,025-93,758,547+	174
hsa_ires_00312.1|Homo sapiens (human)|chr9:26,947,312-26,961,970+	hsa_ires_00312.1|Homo sapiens (human)|chr9:26,947,312-26,961,970+		Homo sapiens (human)	chr9:26,947,312-26,961,970+	174
hsa_ires_00313.1|Homo sapiens (human)|chr1:155,689,101-155,709,779+	hsa_ires_00313.1|Homo sapiens (human)|chr1:155,689,101-155,709,779+		Homo sapiens (human)	chr1:155,689,101-155,709,779+	174
hsa_ires_00314.1|Homo sapiens (human)|chr4:139,295,799-139,302,427-	hsa_ires_00314.1|Homo sapiens (human)|chr4:139,295,799-139,302,427-		Homo sapiens (human)	chr4:139,295,799-139,302,427-	174
hsa_ires_00315.1|Homo sapiens (human)|chr9:122,093,419-122,093,592-	hsa_ires_00315.1|Homo sapiens (human)|chr9:122,093,419-122,093,592-		Homo sapiens (human)	chr9:122,093,419-122,093,592-	174
hsa_ires_00316.1|Homo sapiens (human)|chrX:14,529,884-14,530,057+	hsa_ires_00316.1|Homo sapiens (human)|chrX:14,529,884-14,530,057+		Homo sapiens (human)	chrX:14,529,884-14,530,057+	174
hsa_ires_00317.1|Homo sapiens (human)|chr5:143,400,585-143,400,758-	hsa_ires_00317.1|Homo sapiens (human)|chr5:143,400,585-143,400,758-		Homo sapiens (human)	chr5:143,400,585-143,400,758-	174
hsa_ires_00318.1|Homo sapiens (human)|chrX:115,593,507-115,610,290+	hsa_ires_00318.1|Homo sapiens (human)|chrX:115,593,507-115,610,290+		Homo sapiens (human)	chrX:115,593,507-115,610,290+	174
hsa_ires_00319.1|Homo sapiens (human)|chr16:70,314,949-70,317,526+	hsa_ires_00319.1|Homo sapiens (human)|chr16:70,314,949-70,317,526+		Homo sapiens (human)	chr16:70,314,949-70,317,526+	174
hsa_ires_00320.1|Homo sapiens (human)|chr1:206,921,855-206,922,028-	hsa_ires_00320.1|Homo sapiens (human)|chr1:206,921,855-206,922,028-		Homo sapiens (human)	chr1:206,921,855-206,922,028-	174
hsa_ires_00321.1|Homo sapiens (human)|chr15:64,381,330-64,381,503-	hsa_ires_00321.1|Homo sapiens (human)|chr15:64,381,330-64,381,503-		Homo sapiens (human)	chr15:64,381,330-64,381,503-	174
hsa_ires_00322.1|Homo sapiens (human)|chr1:75,786,194-75,787,589+	hsa_ires_00322.1|Homo sapiens (human)|chr1:75,786,194-75,787,589+		Homo sapiens (human)	chr1:75,786,194-75,787,589+	174
hsa_ires_00323.1|Homo sapiens (human)|chr17:41,350,639-41,350,812-	hsa_ires_00323.1|Homo sapiens (human)|chr17:41,350,639-41,350,812-		Homo sapiens (human)	chr17:41,350,639-41,350,812-	174
hsa_ires_00324.1|Homo sapiens (human)|chr1:205,935,761-205,943,460-	hsa_ires_00324.1|Homo sapiens (human)|chr1:205,935,761-205,943,460-		Homo sapiens (human)	chr1:205,935,761-205,943,460-	174
hsa_ires_00325.1|Homo sapiens (human)|chr1:153,626,473-153,627,251-	hsa_ires_00325.1|Homo sapiens (human)|chr1:153,626,473-153,627,251-		Homo sapiens (human)	chr1:153,626,473-153,627,251-	174
hsa_ires_00326.1|Homo sapiens (human)|chr10:13,108,181-13,109,122+	hsa_ires_00326.1|Homo sapiens (human)|chr10:13,108,181-13,109,122+		Homo sapiens (human)	chr10:13,108,181-13,109,122+	174
hsa_ires_00327.1|Homo sapiens (human)|chr13:98,521,853-98,522,026-	hsa_ires_00327.1|Homo sapiens (human)|chr13:98,521,853-98,522,026-		Homo sapiens (human)	chr13:98,521,853-98,522,026-	174
hsa_ires_00328.1|Homo sapiens (human)|chr12:110,496,105-110,502,111-	hsa_ires_00328.1|Homo sapiens (human)|chr12:110,496,105-110,502,111-		Homo sapiens (human)	chr12:110,496,105-110,502,111-	174
